BENCH_0	3.5306840e+07	3.2829712e+07	7.0605900e+05	0	1.7529202e+00	1024
BENCH_1	3.3885877e+07	3.1645674e+07	4.1610200e+05	0	1.4149086e+00	1024
Section	PAPI_L1_TCM	PAPI_L2_TCM	PAPI_L3_TCM	SPOILED	WALLCLOCKTIME	COUNTER
BENCH_0	3.5387763e+07	3.2538033e+07	3.3837800e+05	0	1.6692078e+00	1024
BENCH_1	3.3908455e+07	3.1639390e+07	3.1169500e+05	0	1.3955054e+00	1024
Section	PAPI_L1_TCM	PAPI_L2_TCM	PAPI_L3_TCM	SPOILED	WALLCLOCKTIME	COUNTER
BENCH_0	3.5350754e+07	3.2847686e+07	5.2903300e+05	0	1.6605124e+00	1024
BENCH_1	3.3925608e+07	3.1645687e+07	1.0174880e+06	0	1.4510689e+00	1024
Section	PAPI_L1_TCM	PAPI_L2_TCM	PAPI_L3_TCM	SPOILED	WALLCLOCKTIME	COUNTER
BENCH_0	3.5437723e+07	3.2588550e+07	3.6659800e+05	0	1.7128541e+00	1024
BENCH_1	3.3896312e+07	3.1556664e+07	1.6334800e+05	0	1.4677956e+00	1024
Section	PAPI_L1_TCM	PAPI_L2_TCM	PAPI_L3_TCM	SPOILED	WALLCLOCKTIME	COUNTER
BENCH_0	3.5347871e+07	3.3038475e+07	1.2955400e+05	0	1.5639994e+00	1024
BENCH_1	3.3870102e+07	3.1514718e+07	1.2192800e+05	0	1.3957267e+00	1024
